Date,Item Purchased,Brand,Category,Quantity,Unit Price,Total Amount,Cost
2018-01-02,Gin,Tanqueray,Spirits,5,22.59,112.95,69.56
2018-01-02,Beer Pack,Budweiser,Beer,4,18.49,73.96,45.78
2018-01-02,Champagne,Moët & Chandon,Wine,4,45.99,183.96,109.07
2018-01-03,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,62.19
2018-01-03,White Wine,Barefoot,Wine,5,15.99,79.95,46.48
2018-01-03,Cigars,Cohiba,Smoking Products,1,15.49,15.49,9.18
2018-01-03,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,62.4
2018-01-03,Rum,Bacardi,Spirits,2,28.79,57.58,34.04
2018-01-03,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,39.28
2018-01-03,White Wine,Barefoot,Wine,3,15.99,47.97,29.45
2018-01-03,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,37.82
2018-01-03,Cigarettes,Marlboro,Smoking Products,5,10.99,54.95,33.24
2018-01-03,Champagne,Moët & Chandon,Wine,4,45.99,183.96,113.16
2018-01-03,White Wine,Barefoot,Wine,1,15.99,15.99,9.73
2018-01-03,Beer Pack,Budweiser,Beer,3,18.49,55.47,32.77
2018-01-03,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,37.7
2018-01-03,White Wine,Barefoot,Wine,5,15.99,79.95,46.59
2018-01-03,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.31
2018-01-03,Vodka,Smirnoff,Spirits,3,25.79,77.37,44.91
2018-01-03,Rum,Bacardi,Spirits,5,28.79,143.95,84.63
2018-01-03,Cigars,Cohiba,Smoking Products,2,15.49,30.98,18.37
2018-01-03,Gin,Tanqueray,Spirits,5,22.59,112.95,65.7
2018-01-03,Whiskey,Jack Daniel's,Spirits,2,30.99,61.98,37.02
2018-01-03,Gin,Tanqueray,Spirits,2,22.59,45.18,26.34
2018-01-03,Gin,Tanqueray,Spirits,1,22.59,22.59,13.68
2018-01-03,Cigars,Cohiba,Smoking Products,5,15.49,77.45,45.03
2018-01-03,Gin,Tanqueray,Spirits,1,22.59,22.59,13.77
2018-01-03,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.52
2018-01-03,Beer Pack,Budweiser,Beer,1,18.49,18.49,11.21
2018-01-03,Vodka,Smirnoff,Spirits,4,25.79,103.16,60.51
2018-01-03,Red Wine,Robert Mondavi,Wine,1,12.99,12.99,7.67
2018-01-03,Beer Pack,Budweiser,Beer,4,18.49,73.96,45.59
2018-01-03,Cigarettes,Marlboro,Smoking Products,5,10.99,54.95,33.31
2018-01-04,Beer Pack,Budweiser,Beer,1,18.49,18.49,10.75
2018-01-04,Rum,Bacardi,Spirits,3,28.79,86.37,52.79
2018-01-04,White Wine,Barefoot,Wine,1,15.99,15.99,9.4
2018-01-04,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.23
2018-01-04,White Wine,Barefoot,Wine,3,15.99,47.97,29.59
2018-01-04,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,23.15
2018-01-04,Beer Pack,Budweiser,Beer,3,18.49,55.47,32.81
2018-01-04,Champagne,Moët & Chandon,Wine,3,45.99,137.97,82.94
2018-01-04,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.52
2018-01-04,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,27.07
2018-01-04,Rum,Bacardi,Spirits,4,28.79,115.16,68.01
2018-01-04,Whiskey,Jack Daniel's,Spirits,3,30.99,92.97,55.97
2018-01-04,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,25.14
2018-01-04,Red Wine,Robert Mondavi,Wine,4,12.99,51.96,30.18
2018-01-04,Beer Pack,Budweiser,Beer,4,18.49,73.96,43.0
2018-01-04,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.87
2018-01-04,Whiskey,Jack Daniel's,Spirits,2,30.99,61.98,37.9
2018-01-04,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,49.91
2018-01-04,Beer Pack,Budweiser,Beer,1,18.49,18.49,10.96
2018-01-04,White Wine,Barefoot,Wine,5,15.99,79.95,47.09
2018-01-05,Beer Pack,Budweiser,Beer,2,18.49,36.98,22.02
2018-01-05,Rum,Bacardi,Spirits,3,28.79,86.37,52.34
2018-01-05,Rum,Bacardi,Spirits,3,28.79,86.37,51.23
2018-01-05,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,62.89
2018-01-05,Whiskey,Jack Daniel's,Spirits,4,30.99,123.96,76.16
2018-01-05,Champagne,Moët & Chandon,Wine,1,45.99,45.99,26.69
2018-01-05,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,37.14
2018-01-05,White Wine,Barefoot,Wine,5,15.99,79.95,47.04
2018-01-05,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,95.86
2018-01-05,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,47.61
2018-01-05,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,60.15
2018-01-05,Gin,Tanqueray,Spirits,2,22.59,45.18,27.26
2018-01-05,White Wine,Barefoot,Wine,2,15.99,31.98,18.64
2018-01-05,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.08
2018-01-05,Beer Pack,Budweiser,Beer,2,18.49,36.98,22.38
2018-01-05,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,38.85
2018-01-05,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,35.75
2018-01-05,Vodka,Smirnoff,Spirits,5,25.79,128.95,75.3
2018-01-05,White Wine,Barefoot,Wine,3,15.99,47.97,29.63
2018-01-05,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,49.08
2018-01-05,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.39
2018-01-05,White Wine,Barefoot,Wine,2,15.99,31.98,19.24
2018-01-05,Rum,Bacardi,Spirits,2,28.79,57.58,35.27
2018-01-05,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.42
2018-01-06,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,49.48
2018-01-06,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.61
2018-01-06,White Wine,Barefoot,Wine,5,15.99,79.95,48.16
2018-01-06,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,23.57
2018-01-06,White Wine,Barefoot,Wine,2,15.99,31.98,19.42
2018-01-06,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.43
2018-01-06,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.52
2018-01-06,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.74
2018-01-06,Gin,Tanqueray,Spirits,2,22.59,45.18,26.71
2018-01-06,Champagne,Moët & Chandon,Wine,4,45.99,183.96,107.42
2018-01-06,Cigars,Cohiba,Smoking Products,1,15.49,15.49,9.11
2018-01-06,Vodka,Smirnoff,Spirits,2,25.79,51.58,31.48
2018-01-06,Champagne,Moët & Chandon,Wine,5,45.99,229.95,138.95
2018-01-06,White Wine,Barefoot,Wine,4,15.99,63.96,39.55
2018-01-06,Cigars,Cohiba,Smoking Products,3,15.49,46.47,26.98
2018-01-06,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,62.41
2018-01-06,Vodka,Smirnoff,Spirits,5,25.79,128.95,75.59
2018-01-06,Vodka,Smirnoff,Spirits,5,25.79,128.95,76.89
2018-01-06,Cigars,Cohiba,Smoking Products,5,15.49,77.45,47.16
2018-01-06,Beer Pack,Budweiser,Beer,4,18.49,73.96,44.96
2018-01-06,Vodka,Smirnoff,Spirits,3,25.79,77.37,46.9
2018-01-06,Rum,Bacardi,Spirits,4,28.79,115.16,68.75
2018-01-06,Vodka,Smirnoff,Spirits,2,25.79,51.58,31.7
2018-01-06,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,37.6
2018-01-06,Rum,Bacardi,Spirits,3,28.79,86.37,51.89
2018-01-07,Vodka,Smirnoff,Spirits,2,25.79,51.58,31.43
2018-01-07,Champagne,Moët & Chandon,Wine,5,45.99,229.95,142.2
2018-01-07,White Wine,Barefoot,Wine,3,15.99,47.97,29.2
2018-01-07,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.09
2018-01-07,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.35
2018-01-07,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.87
2018-01-07,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.36
2018-01-07,Whiskey,Jack Daniel's,Spirits,4,30.99,123.96,75.75
2018-01-07,Whiskey,Jack Daniel's,Spirits,4,30.99,123.96,74.42
2018-01-07,Rum,Bacardi,Spirits,4,28.79,115.16,71.26
2018-01-07,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,60.41
2018-01-07,Cigarettes,Marlboro,Smoking Products,1,10.99,10.99,6.72
2018-01-07,White Wine,Barefoot,Wine,1,15.99,15.99,9.61
2018-01-07,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,19.21
2018-01-07,Red Wine,Robert Mondavi,Wine,1,12.99,12.99,7.56
2018-01-07,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.53
2018-01-07,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.14
2018-01-07,Champagne,Moët & Chandon,Wine,5,45.99,229.95,142.16
2018-01-07,Red Wine,Robert Mondavi,Wine,1,12.99,12.99,7.75
2018-01-07,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.04
2018-01-07,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.71
2018-01-07,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.63
2018-01-07,Vodka,Smirnoff,Spirits,4,25.79,103.16,63.87
2018-01-07,White Wine,Barefoot,Wine,1,15.99,15.99,9.87
2018-01-07,Champagne,Moët & Chandon,Wine,3,45.99,137.97,84.93
2018-01-07,Gin,Tanqueray,Spirits,4,22.59,90.36,53.22
2018-01-07,Rum,Bacardi,Spirits,2,28.79,57.58,35.41
2018-01-08,Champagne,Moët & Chandon,Wine,4,45.99,183.96,110.24
2018-01-08,Rum,Bacardi,Spirits,3,28.79,86.37,51.8
2018-01-08,Gin,Tanqueray,Spirits,1,22.59,22.59,13.77
2018-01-08,Vodka,Smirnoff,Spirits,4,25.79,103.16,60.07
2018-01-08,Rum,Bacardi,Spirits,2,28.79,57.58,34.94
2018-01-08,White Wine,Barefoot,Wine,5,15.99,79.95,46.44
2018-01-08,White Wine,Barefoot,Wine,1,15.99,15.99,9.47
2018-01-08,Cigars,Cohiba,Smoking Products,3,15.49,46.47,27.77
2018-01-08,Gin,Tanqueray,Spirits,1,22.59,22.59,13.12
2018-01-08,Rum,Bacardi,Spirits,5,28.79,143.95,88.96
2018-01-08,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,63.46
2018-01-08,White Wine,Barefoot,Wine,1,15.99,15.99,9.4
2018-01-08,Red Wine,Robert Mondavi,Wine,2,12.99,25.98,15.32
2018-01-08,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.98
2018-01-08,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,91.35
2018-01-08,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,20.29
2018-01-08,White Wine,Barefoot,Wine,3,15.99,47.97,28.15
2018-01-08,Beer Pack,Budweiser,Beer,1,18.49,18.49,11.29
2018-01-08,Gin,Tanqueray,Spirits,3,22.59,67.77,39.48
2018-01-08,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.29
2018-01-08,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.17
2018-01-08,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,22.7
2018-01-08,Rum,Bacardi,Spirits,1,28.79,28.79,17.67
2018-01-08,White Wine,Barefoot,Wine,3,15.99,47.97,29.59
2018-01-08,Gin,Tanqueray,Spirits,1,22.59,22.59,13.32
2018-01-08,Champagne,Moët & Chandon,Wine,2,45.99,91.98,56.55
2018-01-09,Gin,Tanqueray,Spirits,2,22.59,45.18,27.06
2018-01-09,Beer Pack,Budweiser,Beer,2,18.49,36.98,22.64
2018-01-09,Rum,Bacardi,Spirits,2,28.79,57.58,35.1
2018-01-09,Gin,Tanqueray,Spirits,5,22.59,112.95,68.68
2018-01-09,Red Wine,Robert Mondavi,Wine,4,12.99,51.96,30.28
2018-01-09,Beer Pack,Budweiser,Beer,4,18.49,73.96,44.04
2018-01-09,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,20.27
2018-01-09,Gin,Tanqueray,Spirits,1,22.59,22.59,13.41
2018-01-09,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,25.72
2018-01-09,Red Wine,Robert Mondavi,Wine,4,12.99,51.96,30.82
2018-01-09,Beer Pack,Budweiser,Beer,5,18.49,92.45,55.35
2018-01-09,Cigars,Cohiba,Smoking Products,2,15.49,30.98,18.42
2018-01-09,White Wine,Barefoot,Wine,4,15.99,63.96,38.76
2018-01-09,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,60.96
2018-01-09,Beer Pack,Budweiser,Beer,5,18.49,92.45,55.42
2018-01-09,Champagne,Moët & Chandon,Wine,2,45.99,91.98,56.57
2018-01-09,Champagne,Moët & Chandon,Wine,5,45.99,229.95,134.46
2018-01-09,Rum,Bacardi,Spirits,2,28.79,57.58,33.47
2018-01-09,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,63.43
2018-01-09,Rum,Bacardi,Spirits,5,28.79,143.95,87.39
2018-01-09,Rum,Bacardi,Spirits,3,28.79,86.37,52.21
2018-01-09,Cigars,Cohiba,Smoking Products,1,15.49,15.49,8.99
2018-01-09,Cigars,Cohiba,Smoking Products,5,15.49,77.45,46.13
2018-01-09,Beer Pack,Budweiser,Beer,2,18.49,36.98,21.98
2018-01-10,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,63.16
2018-01-10,White Wine,Barefoot,Wine,5,15.99,79.95,47.41
2018-01-10,Rum,Bacardi,Spirits,2,28.79,57.58,34.74
2018-01-10,Gin,Tanqueray,Spirits,2,22.59,45.18,26.81
2018-01-10,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.81
2018-01-10,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.08
2018-01-10,Gin,Tanqueray,Spirits,2,22.59,45.18,26.49
2018-01-10,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,23.31
2018-01-10,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.11
2018-01-10,Rum,Bacardi,Spirits,3,28.79,86.37,51.44
2018-01-10,White Wine,Barefoot,Wine,2,15.99,31.98,19.23
2018-01-10,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.59
2018-01-10,White Wine,Barefoot,Wine,1,15.99,15.99,9.48
2018-01-10,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,94.97
2018-01-10,Gin,Tanqueray,Spirits,4,22.59,90.36,54.27
2018-01-10,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,25.75
2018-01-10,Champagne,Moët & Chandon,Wine,5,45.99,229.95,134.43
2018-01-10,Cigars,Cohiba,Smoking Products,2,15.49,30.98,18.21
2018-01-11,Beer Pack,Budweiser,Beer,5,18.49,92.45,55.09
2018-01-11,Beer Pack,Budweiser,Beer,2,18.49,36.98,21.53
2018-01-11,Champagne,Moët & Chandon,Wine,5,45.99,229.95,135.34
2018-01-11,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.2
2018-01-11,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,90.96
2018-01-11,Vodka,Smirnoff,Spirits,4,25.79,103.16,63.76
2018-01-11,Vodka,Smirnoff,Spirits,1,25.79,25.79,14.96
2018-01-11,Whiskey,Jack Daniel's,Spirits,2,30.99,61.98,36.33
2018-01-11,White Wine,Barefoot,Wine,4,15.99,63.96,38.27
2018-01-11,Cigars,Cohiba,Smoking Products,4,15.49,61.96,37.13
2018-01-11,Gin,Tanqueray,Spirits,3,22.59,67.77,41.94
2018-01-11,White Wine,Barefoot,Wine,3,15.99,47.97,28.1
2018-01-11,Champagne,Moët & Chandon,Wine,4,45.99,183.96,106.72
2018-01-11,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.95
2018-01-11,Rum,Bacardi,Spirits,4,28.79,115.16,70.38
2018-01-11,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.14
2018-01-12,White Wine,Barefoot,Wine,5,15.99,79.95,48.65
2018-01-12,Cigars,Cohiba,Smoking Products,5,15.49,77.45,46.97
2018-01-12,Vodka,Smirnoff,Spirits,4,25.79,103.16,60.28
2018-01-12,Gin,Tanqueray,Spirits,4,22.59,90.36,54.25
2018-01-12,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.41
2018-01-12,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,27.01
2018-01-12,Vodka,Smirnoff,Spirits,3,25.79,77.37,46.66
2018-01-12,Cigarettes,Marlboro,Smoking Products,4,10.99,43.96,26.15
2018-01-12,Cigars,Cohiba,Smoking Products,4,15.49,61.96,36.48
2018-01-12,Beer Pack,Budweiser,Beer,2,18.49,36.98,22.69
2018-01-12,Champagne,Moët & Chandon,Wine,4,45.99,183.96,109.56
2018-01-12,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,62.98
2018-01-12,White Wine,Barefoot,Wine,5,15.99,79.95,46.55
2018-01-12,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,36.56
2018-01-12,White Wine,Barefoot,Wine,1,15.99,15.99,9.55
2018-01-12,Rum,Bacardi,Spirits,1,28.79,28.79,17.09
2018-01-12,Red Wine,Robert Mondavi,Wine,2,12.99,25.98,15.82
2018-01-12,Cigars,Cohiba,Smoking Products,2,15.49,30.98,18.43
2018-01-12,Beer Pack,Budweiser,Beer,5,18.49,92.45,54.92
2018-01-12,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,38.39
2018-01-12,Gin,Tanqueray,Spirits,5,22.59,112.95,65.62
2018-01-12,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.22
2018-01-12,Cigars,Cohiba,Smoking Products,4,15.49,61.96,36.78
2018-01-12,Champagne,Moët & Chandon,Wine,3,45.99,137.97,85.31
2018-01-12,Champagne,Moët & Chandon,Wine,4,45.99,183.96,107.75
2018-01-12,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,22.87
2018-01-12,Vodka,Smirnoff,Spirits,4,25.79,103.16,62.59
2018-01-12,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,25.37
2018-01-12,Rum,Bacardi,Spirits,3,28.79,86.37,52.98
2018-01-13,Rum,Bacardi,Spirits,4,28.79,115.16,68.15
2018-01-13,Cigars,Cohiba,Smoking Products,2,15.49,30.98,18.56
2018-01-13,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,49.9
2018-01-13,Cigarettes,Marlboro,Smoking Products,5,10.99,54.95,33.52
2018-01-13,Red Wine,Robert Mondavi,Wine,4,12.99,51.96,30.64
2018-01-13,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.13
2018-01-13,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,20.04
2018-01-13,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,24.21
2018-01-13,Craft Beer,Sierra Nevada,Beer,3,20.49,61.47,36.03
2018-01-13,Beer Pack,Budweiser,Beer,2,18.49,36.98,22.66
2018-01-13,Gin,Tanqueray,Spirits,2,22.59,45.18,26.82
2018-01-13,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.85
2018-01-13,Rum,Bacardi,Spirits,1,28.79,28.79,17.68
2018-01-13,Vodka,Smirnoff,Spirits,5,25.79,128.95,79.28
2018-01-13,Cigars,Cohiba,Smoking Products,1,15.49,15.49,9.0
2018-01-14,Champagne,Moët & Chandon,Wine,2,45.99,91.98,54.4
2018-01-14,Cigars,Cohiba,Smoking Products,3,15.49,46.47,28.21
2018-01-14,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.18
2018-01-14,Champagne,Moët & Chandon,Wine,1,45.99,45.99,26.69
2018-01-14,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,50.75
2018-01-14,Whiskey,Jack Daniel's,Spirits,3,30.99,92.97,55.25
2018-01-14,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,47.87
2018-01-14,Cigarettes,Marlboro,Smoking Products,1,10.99,10.99,6.66
2018-01-14,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.45
2018-01-14,Champagne,Moët & Chandon,Wine,5,45.99,229.95,140.54
2018-01-14,Red Wine,Robert Mondavi,Wine,2,12.99,25.98,15.34
2018-01-14,Champagne,Moët & Chandon,Wine,1,45.99,45.99,27.5
2018-01-14,Vodka,Smirnoff,Spirits,3,25.79,77.37,46.42
2018-01-14,Red Wine,Robert Mondavi,Wine,3,12.99,38.97,23.94
2018-01-14,Red Wine,Robert Mondavi,Wine,4,12.99,51.96,31.1
2018-01-14,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,19.47
2018-01-14,Whiskey,Jack Daniel's,Spirits,1,30.99,30.99,18.98
2018-01-14,Cigars,Cohiba,Smoking Products,1,15.49,15.49,9.4
2018-01-14,Whiskey,Jack Daniel's,Spirits,3,30.99,92.97,55.03
2018-01-14,Craft Beer,Sierra Nevada,Beer,5,20.49,102.45,59.63
2018-01-15,Beer Pack,Budweiser,Beer,3,18.49,55.47,32.64
2018-01-15,Beer Pack,Budweiser,Beer,4,18.49,73.96,44.9
2018-01-15,Craft Beer,Sierra Nevada,Beer,4,20.49,81.96,50.68
2018-01-15,Champagne,Moët & Chandon,Wine,2,45.99,91.98,54.2
2018-01-15,Cigars,Cohiba,Smoking Products,1,15.49,15.49,9.35
2018-01-15,Red Wine,Robert Mondavi,Wine,1,12.99,12.99,7.86
2018-01-15,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,93.57
2018-01-15,Whiskey,Jack Daniel's,Spirits,5,30.99,154.95,93.26
2018-01-15,Beer Pack,Budweiser,Beer,3,18.49,55.47,33.77
2018-01-15,Gin,Tanqueray,Spirits,5,22.59,112.95,68.78
2018-01-15,Beer Pack,Budweiser,Beer,3,18.49,55.47,32.64
2018-01-15,Rum,Bacardi,Spirits,1,28.79,28.79,16.86
2018-01-15,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,11.99
2018-01-15,Gin,Tanqueray,Spirits,4,22.59,90.36,54.57
2018-01-15,Beer Pack,Budweiser,Beer,2,18.49,36.98,21.99
2018-01-15,Champagne,Moët & Chandon,Wine,2,45.99,91.98,54.84
2018-01-15,Whiskey,Jack Daniel's,Spirits,1,30.99,30.99,19.02
2018-01-15,Rum,Bacardi,Spirits,3,28.79,86.37,50.47
2018-01-15,White Wine,Barefoot,Wine,5,15.99,79.95,47.56
2018-01-15,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.01
2018-01-15,Red Wine,Robert Mondavi,Wine,2,12.99,25.98,15.39
2018-01-15,Red Wine,Robert Mondavi,Wine,1,12.99,12.99,7.59
2018-01-16,Champagne,Moët & Chandon,Wine,4,45.99,183.96,109.9
2018-01-16,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,39.47
2018-01-16,Cigarettes,Marlboro,Smoking Products,2,10.99,21.98,13.32
2018-01-16,Cigarettes,Marlboro,Smoking Products,3,10.99,32.97,19.32
2018-01-16,White Wine,Barefoot,Wine,1,15.99,15.99,9.61
2018-01-16,Craft Beer,Sierra Nevada,Beer,2,20.49,40.98,25.23
2018-01-16,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.09
2018-01-16,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,38.06
2018-01-16,White Wine,Barefoot,Wine,4,15.99,63.96,39.55
2018-01-16,Vodka,Smirnoff,Spirits,2,25.79,51.58,31.31
2018-01-16,Beer Pack,Budweiser,Beer,3,18.49,55.47,34.07
2018-01-16,Gin,Tanqueray,Spirits,2,22.59,45.18,27.49
2018-01-16,Vodka,Smirnoff,Spirits,2,25.79,51.58,30.51
2018-01-16,Rum,Bacardi,Spirits,3,28.79,86.37,51.36
2018-01-16,Cigars,Cohiba,Smoking Products,4,15.49,61.96,36.74
2018-01-16,Beer Pack,Budweiser,Beer,4,18.49,73.96,44.1
2018-01-16,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.05
2018-01-16,Champagne,Moët & Chandon,Wine,5,45.99,229.95,138.92
2018-01-16,Red Wine,Robert Mondavi,Wine,2,12.99,25.98,15.5
2018-01-16,Gin,Tanqueray,Spirits,5,22.59,112.95,67.38
2018-01-16,Gin,Tanqueray,Spirits,3,22.59,67.77,41.72
2018-01-16,Craft Beer,Sierra Nevada,Beer,1,20.49,20.49,12.41
2018-01-17,Whiskey,Jack Daniel's,Spirits,2,30.99,61.98,38.18
2018-01-17,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,39.97
2018-01-17,Vodka,Smirnoff,Spirits,1,25.79,25.79,15.47
2018-01-17,Beer Pack,Budweiser,Beer,4,18.49,73.96,45.69
2018-01-17,Red Wine,Robert Mondavi,Wine,5,12.99,64.95,38.17
