Report_Type,Item,Category,Month,Recommended_Quantity,Total_Investment,Expected_Revenue,Expected_Profit,Profit_Margin_%,Notes
MONTHLY_DETAIL,Beer Pack,Beer,Apr,182,2019.9,2810.48,1123.53,39.98,"Seasonality: 0.96, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Apr,219,2101.68,2926.17,1169.97,39.98,"Seasonality: 1.02, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,May,196,5410.99,7542.36,3014.8,39.97,"Seasonality: 0.97, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,May,210,3904.33,5423.25,2169.64,40.01,"Seasonality: 1.02, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,May,244,4214.82,5873.16,2349.29,40.0,"Seasonality: 1.00, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,May,247,3822.46,5312.74,2124.78,39.99,"Seasonality: 0.98, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,May,204,2764.55,3840.3,1536.51,40.01,"Seasonality: 1.00, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,May,229,2814.91,3913.59,1565.78,40.01,"Seasonality: 0.95, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,May,192,2130.88,2958.4,1182.66,39.98,"Seasonality: 1.01, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,May,208,1996.11,2782.26,1112.43,39.98,"Seasonality: 0.97, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Jun,206,5687.06,7910.28,3161.86,39.97,"Seasonality: 1.02, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Jun,205,3811.37,5299.29,2120.05,40.01,"Seasonality: 0.99, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Jun,241,4163.0,5786.79,2314.74,40.0,"Seasonality: 0.99, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Jun,255,3946.26,5493.27,2196.98,39.99,"Seasonality: 1.01, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Jun,212,2872.97,3998.43,1599.77,40.01,"Seasonality: 1.04, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Jun,234,2876.37,3995.55,1598.57,40.01,"Seasonality: 0.97, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Jun,192,2130.88,2958.4,1182.66,39.98,"Seasonality: 1.01, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Jun,214,2053.69,2862.21,1144.4,39.98,"Seasonality: 0.99, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Jul,195,5383.39,7496.37,2996.41,39.97,"Seasonality: 0.96, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Jul,196,3644.04,5082.36,2033.27,40.01,"Seasonality: 0.95, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Jul,250,4318.47,6017.11,2406.87,40.0,"Seasonality: 1.03, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Jul,250,3868.89,5390.11,2155.72,39.99,"Seasonality: 1.00, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Jul,204,2764.55,3840.3,1536.51,40.01,"Seasonality: 1.00, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Jul,242,2974.71,4138.98,1655.96,40.01,"Seasonality: 1.00, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Jul,194,2153.08,2995.38,1197.45,39.98,"Seasonality: 1.02, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Jul,218,2092.08,2910.18,1163.58,39.98,"Seasonality: 1.02, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Aug,205,5659.46,7864.29,3143.48,39.97,"Seasonality: 1.01, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Aug,212,3941.51,5485.23,2194.44,40.01,"Seasonality: 1.03, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Aug,244,4214.82,5873.16,2349.29,40.0,"Seasonality: 1.00, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Aug,250,3868.89,5390.11,2155.72,39.99,"Seasonality: 1.00, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Aug,196,2656.14,3704.76,1482.28,40.01,"Seasonality: 0.97, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Aug,248,3048.46,4241.43,1696.95,40.01,"Seasonality: 1.03, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Aug,190,2108.69,2939.91,1175.27,39.98,"Seasonality: 1.00, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Aug,219,2101.68,2926.17,1169.97,39.98,"Seasonality: 1.02, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Sep,212,5852.71,8140.23,3253.77,39.97,"Seasonality: 1.04, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Sep,194,3606.86,5020.38,2008.47,40.01,"Seasonality: 0.94, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Sep,249,4301.19,5988.32,2395.35,40.0,"Seasonality: 1.03, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Sep,253,3915.31,5441.69,2176.35,39.99,"Seasonality: 1.01, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Sep,199,2696.79,3749.94,1500.35,40.01,"Seasonality: 0.98, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Sep,243,2987.0,4159.47,1664.16,40.01,"Seasonality: 1.01, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Sep,196,2175.28,3032.36,1212.23,39.98,"Seasonality: 1.03, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Sep,219,2101.68,2926.17,1169.97,39.98,"Seasonality: 1.02, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Oct,202,5576.63,7772.31,3106.71,39.97,"Seasonality: 1.00, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Oct,205,3811.37,5299.29,2120.05,40.01,"Seasonality: 0.99, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Oct,235,4059.36,5642.84,2257.16,40.0,"Seasonality: 0.96, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Oct,242,3745.08,5209.58,2083.52,39.99,"Seasonality: 0.96, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Oct,200,2710.35,3772.53,1509.39,40.01,"Seasonality: 0.99, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Oct,247,3036.17,4220.94,1688.75,40.01,"Seasonality: 1.02, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Oct,188,2086.49,2902.93,1160.49,39.98,"Seasonality: 0.99, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Oct,206,1976.92,2750.28,1099.65,39.98,"Seasonality: 0.96, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Nov,205,5659.46,7864.29,3143.48,39.97,"Seasonality: 1.01, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Nov,206,3829.96,5330.28,2132.45,40.01,"Seasonality: 1.00, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Nov,238,4111.18,5729.21,2291.71,40.0,"Seasonality: 0.98, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Nov,250,3868.89,5390.11,2155.72,39.99,"Seasonality: 1.00, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Nov,206,2791.66,3885.48,1554.58,40.01,"Seasonality: 1.01, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Nov,252,3097.63,4302.9,1721.54,40.01,"Seasonality: 1.04, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Nov,183,2031.0,2828.97,1130.92,39.98,"Seasonality: 0.96, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Nov,218,2092.08,2910.18,1163.58,39.98,"Seasonality: 1.01, Growth: 0.95"
MONTHLY_DETAIL,Champagne,Wine,Dec,194,5355.78,7450.38,2978.03,39.97,"Seasonality: 0.96, Growth: 0.94"
MONTHLY_DETAIL,Whiskey,Spirits,Dec,208,3867.14,5392.26,2157.25,40.01,"Seasonality: 1.01, Growth: 0.94"
MONTHLY_DETAIL,Rum,Spirits,Dec,255,4404.84,6132.27,2452.94,40.0,"Seasonality: 1.05, Growth: 1.01"
MONTHLY_DETAIL,Vodka,Spirits,Dec,247,3822.46,5312.74,2124.78,39.99,"Seasonality: 0.98, Growth: 1.05"
MONTHLY_DETAIL,Gin,Spirits,Dec,204,2764.55,3840.3,1536.51,40.01,"Seasonality: 1.00, Growth: 0.92"
MONTHLY_DETAIL,Craft Beer,Beer,Dec,237,2913.25,4057.02,1623.17,40.01,"Seasonality: 0.98, Growth: 1.05"
MONTHLY_DETAIL,Beer Pack,Beer,Dec,187,2075.39,2884.44,1153.1,39.98,"Seasonality: 0.99, Growth: 0.92"
MONTHLY_DETAIL,White Wine,Wine,Dec,224,2149.66,2990.13,1195.55,39.98,"Seasonality: 1.04, Growth: 0.95"
